Connecting to host 192.168.2.3, port 5201
[  5] local 192.168.1.3 port 35202 connected to 192.168.2.3 port 5201
[  5] 119.00-120.00 sec   826 MBytes  6.93 Gbits/sec    0   1.98 MBytes       
[  5] 120.00-121.00 sec   843 MBytes  7.07 Gbits/sec    0   1.98 MBytes       
[  5] 121.00-122.00 sec   828 MBytes  6.95 Gbits/sec    0   1.98 MBytes       
[  5] 122.00-123.00 sec   836 MBytes  7.02 Gbits/sec    0   1.98 MBytes       
[  5] 123.00-124.00 sec   836 MBytes  7.01 Gbits/sec    0   1.98 MBytes       
[  5] 124.00-125.00 sec   828 MBytes  6.95 Gbits/sec    0   1.98 MBytes       
[  5] 125.00-126.00 sec   832 MBytes  6.98 Gbits/sec    0   1.98 MBytes       
[  5] 126.00-127.00 sec   831 MBytes  6.97 Gbits/sec    0   1.98 MBytes       
[  5] 127.00-128.00 sec   833 MBytes  6.99 Gbits/sec    0   1.98 MBytes       
[  5] 128.00-129.00 sec   490 MBytes  4.11 Gbits/sec    0   1.98 MBytes       
[  5] 129.00-130.00 sec   818 MBytes  6.87 Gbits/sec    0   1.98 MBytes       
[  5] 130.00-131.00 sec   844 MBytes  7.08 Gbits/sec    0   1.98 MBytes       
[  5] 131.00-132.00 sec   750 MBytes  6.30 Gbits/sec    0   1.98 MBytes       
[  5] 132.00-133.00 sec   756 MBytes  6.34 Gbits/sec    0   1.98 MBytes       
[  5] 133.00-134.00 sec   818 MBytes  6.86 Gbits/sec    0   1.98 MBytes       
[  5] 134.00-135.00 sec   815 MBytes  6.83 Gbits/sec    0   1.98 MBytes       
[  5] 135.00-136.00 sec   813 MBytes  6.82 Gbits/sec    0   1.98 MBytes       
[  5] 136.00-137.00 sec   826 MBytes  6.93 Gbits/sec    0   1.98 MBytes       
[  5] 137.00-138.00 sec   826 MBytes  6.93 Gbits/sec    0   1.98 MBytes       
[  5] 138.00-139.00 sec   835 MBytes  7.00 Gbits/sec    0   1.98 MBytes       
[  5] 139.00-140.00 sec   753 MBytes  6.32 Gbits/sec    0   1.98 MBytes       
[  5] 140.00-141.00 sec   751 MBytes  6.30 Gbits/sec    0   1.98 MBytes       
[  5] 141.00-142.00 sec   826 MBytes  6.93 Gbits/sec    0   1.98 MBytes       
[  5] 142.00-143.00 sec   859 MBytes  7.21 Gbits/sec    0   1.98 MBytes       
[  5] 143.00-144.00 sec   844 MBytes  7.08 Gbits/sec    0   1.98 MBytes       
[  5] 144.00-145.00 sec   647 MBytes  5.43 Gbits/sec    0   1.98 MBytes       
[  5] 145.00-146.00 sec   818 MBytes  6.86 Gbits/sec    0   1.98 MBytes       
[  5] 146.00-147.00 sec   826 MBytes  6.93 Gbits/sec    0   1.98 MBytes       
[  5] 147.00-148.00 sec   684 MBytes  5.74 Gbits/sec    0   1.98 MBytes       
[  5] 148.00-149.00 sec   832 MBytes  6.98 Gbits/sec    0   1.98 MBytes       
[  5] 149.00-150.00 sec   691 MBytes  5.80 Gbits/sec    0   1.98 MBytes       
[  5] 150.00-151.00 sec   819 MBytes  6.87 Gbits/sec    0   1.98 MBytes       
[  5] 151.00-152.00 sec   741 MBytes  6.22 Gbits/sec    0   1.98 MBytes       
[  5] 152.00-153.00 sec   702 MBytes  5.89 Gbits/sec    0   1.98 MBytes       
[  5] 153.00-154.00 sec   840 MBytes  7.05 Gbits/sec    0   1.98 MBytes       
[  5] 154.00-155.00 sec   853 MBytes  7.16 Gbits/sec    0   1.98 MBytes       
[  5] 155.00-156.00 sec   806 MBytes  6.76 Gbits/sec    0   1.98 MBytes       
[  5] 156.00-157.00 sec   818 MBytes  6.86 Gbits/sec    0   1.98 MBytes       
[  5] 157.00-158.00 sec   825 MBytes  6.92 Gbits/sec    0   1.98 MBytes       
[  5] 158.00-159.00 sec   837 MBytes  7.02 Gbits/sec    0   1.98 MBytes       
[  5] 159.00-160.00 sec   820 MBytes  6.88 Gbits/sec    0   1.98 MBytes       
[  5] 160.00-161.00 sec   826 MBytes  6.93 Gbits/sec    0   1.98 MBytes       
[  5] 161.00-162.00 sec   817 MBytes  6.86 Gbits/sec    0   1.98 MBytes       
[  5] 162.00-163.00 sec   860 MBytes  7.21 Gbits/sec    0   1.98 MBytes       
[  5] 163.00-164.00 sec   739 MBytes  6.20 Gbits/sec    0   1.98 MBytes       
[  5] 164.00-165.00 sec   838 MBytes  7.03 Gbits/sec    0   1.98 MBytes       
[  5] 165.00-166.00 sec   744 MBytes  6.24 Gbits/sec    0   1.98 MBytes       
[  5] 166.00-167.00 sec   834 MBytes  6.99 Gbits/sec    0   1.98 MBytes       
[  5] 167.00-168.00 sec   854 MBytes  7.16 Gbits/sec    0   1.98 MBytes       
[  5] 168.00-169.00 sec   774 MBytes  6.49 Gbits/sec    0   1.98 MBytes       
[  5] 169.00-170.00 sec   734 MBytes  6.16 Gbits/sec    0   1.98 MBytes       
[  5] 170.00-171.00 sec   831 MBytes  6.97 Gbits/sec    0   1.98 MBytes       
[  5] 171.00-172.00 sec   820 MBytes  6.87 Gbits/sec    0   1.98 MBytes       
[  5] 172.00-173.00 sec   823 MBytes  6.90 Gbits/sec    0   1.98 MBytes       
[  5] 173.00-174.00 sec   814 MBytes  6.83 Gbits/sec    0   1.98 MBytes       
[  5] 174.00-175.00 sec   824 MBytes  6.91 Gbits/sec    0   1.98 MBytes       
[  5] 175.00-176.00 sec   806 MBytes  6.76 Gbits/sec    0   1.98 MBytes       
[  5] 176.00-177.00 sec   826 MBytes  6.93 Gbits/sec    0   1.98 MBytes       
[  5] 177.00-178.00 sec   731 MBytes  6.13 Gbits/sec    0   1.98 MBytes       
[  5] 178.00-179.00 sec   731 MBytes  6.13 Gbits/sec    0   1.98 MBytes       
[  5] 179.00-180.00 sec   813 MBytes  6.82 Gbits/sec    0   1.98 MBytes       
[  5] 180.00-181.00 sec   738 MBytes  6.19 Gbits/sec    0   1.98 MBytes       
[  5] 181.00-182.00 sec   803 MBytes  6.73 Gbits/sec    0   1.98 MBytes       
[  5] 182.00-183.00 sec   834 MBytes  6.99 Gbits/sec    0   1.98 MBytes       
[  5] 183.00-184.00 sec   819 MBytes  6.87 Gbits/sec    0   1.98 MBytes       
