CPUPerc,MemUsage,NetIO,BlockIO
0.99%,169.1MiB / 1GiB,699GB / 730GB,270kB / 226MB
0.98%,169.1MiB / 1GiB,699GB / 730GB,270kB / 226MB
0.92%,169.1MiB / 1GiB,699GB / 730GB,270kB / 226MB
1.02%,169.1MiB / 1GiB,699GB / 730GB,270kB / 226MB
0.90%,169.1MiB / 1GiB,699GB / 730GB,270kB / 226MB
0.96%,169.1MiB / 1GiB,699GB / 730GB,270kB / 226MB
0.98%,169.1MiB / 1GiB,699GB / 730GB,270kB / 226MB
0.93%,169.1MiB / 1GiB,699GB / 730GB,270kB / 226MB
0.94%,169.1MiB / 1GiB,699GB / 730GB,270kB / 226MB
0.88%,169.1MiB / 1GiB,699GB / 730GB,270kB / 226MB
0.96%,169.1MiB / 1GiB,699GB / 730GB,270kB / 226MB
0.80%,169.1MiB / 1GiB,699GB / 730GB,270kB / 227MB
